     i        y          a (AU)     P (y)    Mplan (M_E)     Pcol        Pejc   
    172   -2.94877       0.05450  3.8363e-02  1.0000e+00  2.2504e-06  0.0000e+00
    173   -2.94850       0.05452  3.8379e-02  1.0000e+00  2.2493e-06  0.0000e+00
    174   -2.94822       0.05453  3.8394e-02  1.0000e+00  2.2482e-06  0.0000e+00
    175   -2.94795       0.05455  3.8410e-02  1.0000e+00  2.2471e-06  0.0000e+00
    176   -2.94768       0.05456  3.8426e-02  1.0000e+00  2.2460e-06  0.0000e+00
    177   -2.94740       0.05457  3.8441e-02  1.0000e+00  2.2449e-06  0.0000e+00
    178   -2.94713       0.05459  3.8457e-02  1.0000e+00  2.2438e-06  0.0000e+00
    179   -2.94686       0.05460  3.8473e-02  1.0000e+00  2.2427e-06  0.0000e+00
    180   -2.94658       0.05462  3.8489e-02  1.0000e+00  2.2415e-06  0.0000e+00
    181   -2.94631       0.05463  3.8505e-02  1.0000e+00  2.2404e-06  0.0000e+00
    182   -2.94604       0.05465  3.8520e-02  1.0000e+00  2.2393e-06  0.0000e+00
    183   -2.94577       0.05466  3.8536e-02  1.0000e+00  2.2382e-06  0.0000e+00
    184   -2.94549       0.05468  3.8552e-02  1.0000e+00  2.2371e-06  0.0000e+00
    185   -2.94522       0.05469  3.8568e-02  1.0000e+00  2.2360e-06  0.0000e+00
    186   -2.94495       0.05471  3.8583e-02  1.0000e+00  2.2349e-06  0.0000e+00
    187   -2.94467       0.05472  3.8599e-02  1.0000e+00  2.2338e-06  0.0000e+00
    188   -2.94440       0.05474  3.8615e-02  1.0000e+00  2.2327e-06  0.0000e+00
    189   -2.94413       0.05475  3.8631e-02  1.0000e+00  2.2316e-06  0.0000e+00
    190   -2.94385       0.05477  3.8647e-02  1.0000e+00  2.2305e-06  0.0000e+00
    191   -2.94358       0.05478  3.8663e-02  1.0000e+00  2.2294e-06  0.0000e+00
    192   -2.94331       0.05480  3.8678e-02  1.0000e+00  2.2283e-06  0.0000e+00
    193   -2.94303       0.05481  3.8694e-02  1.0000e+00  2.2272e-06  0.0000e+00
    194   -2.94276       0.05483  3.8710e-02  1.0000e+00  2.2261e-06  0.0000e+00
    195   -2.94249       0.05484  3.8726e-02  1.0000e+00  2.2250e-06  0.0000e+00
    196   -2.94222       0.05486  3.8742e-02  1.0000e+00  2.2239e-06  0.0000e+00
    197   -2.94194       0.05487  3.8758e-02  1.0000e+00  2.2228e-06  0.0000e+00
    198   -2.94167       0.05489  3.8774e-02  1.0000e+00  2.2217e-06  0.0000e+00
    199   -2.94140       0.05490  3.8789e-02  1.0000e+00  2.2206e-06  0.0000e+00
    200   -2.94112       0.05492  3.8805e-02  1.0000e+00  2.2195e-06  0.0000e+00
    201   -2.94085       0.05493  3.8821e-02  1.0000e+00  2.2184e-06  0.0000e+00
    202   -2.94058       0.05495  3.8837e-02  1.0000e+00  2.2173e-06  0.0000e+00
    203   -2.94030       0.05496  3.8853e-02  1.0000e+00  2.2162e-06  0.0000e+00
    204   -2.94003       0.05498  3.8869e-02  1.0000e+00  2.2151e-06  0.0000e+00
    205   -2.93976       0.05499  3.8885e-02  1.0000e+00  2.2140e-06  0.0000e+00
    206   -2.93949       0.05501  3.8901e-02  1.0000e+00  2.2129e-06  0.0000e+00
    207   -2.93921       0.05502  3.8917e-02  1.0000e+00  2.2118e-06  0.0000e+00
    208   -2.93894       0.05504  3.8933e-02  1.0000e+00  2.2107e-06  0.0000e+00
    209   -2.93867       0.05505  3.8949e-02  1.0000e+00  2.2096e-06  0.0000e+00
    210   -2.93839       0.05507  3.8965e-02  1.0000e+00  2.2085e-06  0.0000e+00
    211   -2.93812       0.05508  3.8981e-02  1.0000e+00  2.2074e-06  0.0000e+00
    212   -2.93785       0.05510  3.8997e-02  1.0000e+00  2.2063e-06  0.0000e+00
    213   -2.93757       0.05511  3.9012e-02  1.0000e+00  2.2052e-06  0.0000e+00
    214   -2.93730       0.05513  3.9028e-02  1.0000e+00  2.2041e-06  0.0000e+00
    215   -2.93703       0.05514  3.9044e-02  1.0000e+00  2.2030e-06  0.0000e+00
    216   -2.93675       0.05516  3.9060e-02  1.0000e+00  2.2020e-06  0.0000e+00
    217   -2.93648       0.05517  3.9076e-02  1.0000e+00  2.2009e-06  0.0000e+00
    218   -2.93621       0.05519  3.9092e-02  1.0000e+00  2.1998e-06  0.0000e+00
    219   -2.93594       0.05520  3.9108e-02  1.0000e+00  2.1987e-06  0.0000e+00
    220   -2.93566       0.05522  3.9125e-02  1.0000e+00  2.1976e-06  0.0000e+00
    221   -2.93539       0.05523  3.9141e-02  1.0000e+00  2.1965e-06  0.0000e+00
    222   -2.93512       0.05525  3.9157e-02  1.0000e+00  2.1954e-06  0.0000e+00
    223   -2.93484       0.05526  3.9173e-02  1.0000e+00  2.1943e-06  0.0000e+00
    224   -2.93457       0.05528  3.9189e-02  1.0000e+00  2.1933e-06  0.0000e+00
    225   -2.93430       0.05529  3.9205e-02  1.0000e+00  2.1922e-06  0.0000e+00
    226   -2.93402       0.05531  3.9221e-02  1.0000e+00  2.1911e-06  0.0000e+00
    227   -2.93375       0.05532  3.9237e-02  1.0000e+00  2.1900e-06  0.0000e+00
    228   -2.93348       0.05534  3.9253e-02  1.0000e+00  2.1889e-06  0.0000e+00
    229   -2.93321       0.05536  3.9269e-02  1.0000e+00  2.1878e-06  0.0000e+00
    230   -2.93293       0.05537  3.9285e-02  1.0000e+00  2.1868e-06  0.0000e+00
    231   -2.93266       0.05539  3.9301e-02  1.0000e+00  2.1857e-06  0.0000e+00
    232   -2.93239       0.05540  3.9317e-02  1.0000e+00  2.1846e-06  0.0000e+00
    233   -2.93211       0.05542  3.9333e-02  1.0000e+00  2.1835e-06  0.0000e+00
    234   -2.93184       0.05543  3.9349e-02  1.0000e+00  2.1824e-06  0.0000e+00
    235   -2.93157       0.05545  3.9366e-02  1.0000e+00  2.1814e-06  0.0000e+00
    236   -2.93129       0.05546  3.9382e-02  1.0000e+00  2.1803e-06  0.0000e+00
    237   -2.93102       0.05548  3.9398e-02  1.0000e+00  2.1792e-06  0.0000e+00
    238   -2.93075       0.05549  3.9414e-02  1.0000e+00  2.1781e-06  0.0000e+00
    239   -2.93047       0.05551  3.9430e-02  1.0000e+00  2.1770e-06  0.0000e+00
    240   -2.93020       0.05552  3.9446e-02  1.0000e+00  2.1760e-06  0.0000e+00
    241   -2.92993       0.05554  3.9462e-02  1.0000e+00  2.1749e-06  0.0000e+00
    242   -2.92966       0.05555  3.9479e-02  1.0000e+00  2.1738e-06  0.0000e+00
    243   -2.92938       0.05557  3.9495e-02  1.0000e+00  2.1727e-06  0.0000e+00
    244   -2.92911       0.05558  3.9511e-02  1.0000e+00  2.1717e-06  0.0000e+00
    245   -2.92884       0.05560  3.9527e-02  1.0000e+00  2.1706e-06  0.0000e+00
    246   -2.92856       0.05561  3.9543e-02  1.0000e+00  2.1695e-06  0.0000e+00
    247   -2.92829       0.05563  3.9560e-02  1.0000e+00  2.1684e-06  0.0000e+00
    248   -2.92802       0.05564  3.9576e-02  1.0000e+00  2.1674e-06  0.0000e+00
    249   -2.92774       0.05566  3.9592e-02  1.0000e+00  2.1663e-06  0.0000e+00
    250   -2.92747       0.05567  3.9608e-02  1.0000e+00  2.1652e-06  0.0000e+00
    251   -2.92720       0.05569  3.9624e-02  1.0000e+00  2.1642e-06  0.0000e+00
    252   -2.92693       0.05570  3.9641e-02  1.0000e+00  2.1631e-06  0.0000e+00
    253   -2.92665       0.05572  3.9657e-02  1.0000e+00  2.1620e-06  0.0000e+00
    254   -2.92638       0.05573  3.9673e-02  1.0000e+00  2.1610e-06  0.0000e+00
    255   -2.92611       0.05575  3.9689e-02  1.0000e+00  2.1599e-06  0.0000e+00
    256   -2.92583       0.05576  3.9706e-02  1.0000e+00  2.1588e-06  0.0000e+00
    257   -2.92556       0.05578  3.9722e-02  1.0000e+00  2.1577e-06  0.0000e+00
    258   -2.92529       0.05580  3.9738e-02  1.0000e+00  2.1567e-06  0.0000e+00
    259   -2.92501       0.05581  3.9754e-02  1.0000e+00  2.1556e-06  0.0000e+00
    260   -2.92474       0.05583  3.9771e-02  1.0000e+00  2.1545e-06  0.0000e+00
    261   -2.92447       0.05584  3.9787e-02  1.0000e+00  2.1535e-06  0.0000e+00
    262   -2.92419       0.05586  3.9803e-02  1.0000e+00  2.1524e-06  0.0000e+00
    263   -2.92392       0.05587  3.9820e-02  1.0000e+00  2.1514e-06  0.0000e+00
    264   -2.92365       0.05589  3.9836e-02  1.0000e+00  2.1503e-06  0.0000e+00
    265   -2.92338       0.05590  3.9852e-02  1.0000e+00  2.1492e-06  0.0000e+00
    266   -2.92310       0.05592  3.9869e-02  1.0000e+00  2.1482e-06  0.0000e+00
    267   -2.92283       0.05593  3.9885e-02  1.0000e+00  2.1471e-06  0.0000e+00
    268   -2.92256       0.05595  3.9901e-02  1.0000e+00  2.1460e-06  0.0000e+00
    269   -2.92228       0.05596  3.9918e-02  1.0000e+00  2.1450e-06  0.0000e+00
    270   -2.92201       0.05598  3.9934e-02  1.0000e+00  2.1439e-06  0.0000e+00
    271   -2.92174       0.05599  3.9950e-02  1.0000e+00  2.1429e-06  0.0000e+00
    272   -2.92146       0.05601  3.9967e-02  1.0000e+00  2.1418e-06  0.0000e+00
    273   -2.92119       0.05602  3.9983e-02  1.0000e+00  2.1407e-06  0.0000e+00
    274   -2.92092       0.05604  3.9999e-02  1.0000e+00  2.1397e-06  0.0000e+00
    275   -2.92065       0.05605  4.0016e-02  1.0000e+00  2.1386e-06  0.0000e+00
    276   -2.92037       0.05607  4.0032e-02  1.0000e+00  2.1376e-06  0.0000e+00
    277   -2.92010       0.05609  4.0049e-02  1.0000e+00  2.1365e-06  0.0000e+00
    278   -2.91983       0.05610  4.0065e-02  1.0000e+00  2.1355e-06  0.0000e+00
    279   -2.91955       0.05612  4.0081e-02  1.0000e+00  2.1344e-06  0.0000e+00
    280   -2.91928       0.05613  4.0098e-02  1.0000e+00  2.1334e-06  0.0000e+00
    281   -2.91901       0.05615  4.0114e-02  1.0000e+00  2.1323e-06  0.0000e+00
    282   -2.91873       0.05616  4.0131e-02  1.0000e+00  2.1313e-06  0.0000e+00
    283   -2.91846       0.05618  4.0147e-02  1.0000e+00  2.1302e-06  0.0000e+00
    284   -2.91819       0.05619  4.0164e-02  1.0000e+00  2.1291e-06  0.0000e+00
    285   -2.91791       0.05621  4.0180e-02  1.0000e+00  2.1281e-06  0.0000e+00
    286   -2.91764       0.05622  4.0197e-02  1.0000e+00  2.1270e-06  0.0000e+00
    287   -2.91737       0.05624  4.0213e-02  1.0000e+00  2.1260e-06  0.0000e+00
    288   -2.91710       0.05625  4.0229e-02  1.0000e+00  2.1249e-06  0.0000e+00
    289   -2.91682       0.05627  4.0246e-02  1.0000e+00  2.1239e-06  0.0000e+00
    290   -2.91655       0.05628  4.0262e-02  1.0000e+00  2.1228e-06  0.0000e+00
    291   -2.91628       0.05630  4.0279e-02  1.0000e+00  2.1218e-06  0.0000e+00
    292   -2.91600       0.05632  4.0295e-02  1.0000e+00  2.1207e-06  0.0000e+00
    293   -2.91573       0.05633  4.0312e-02  1.0000e+00  2.1197e-06  0.0000e+00
    294   -2.91546       0.05635  4.0328e-02  1.0000e+00  2.1187e-06  0.0000e+00
    295   -2.91518       0.05636  4.0345e-02  1.0000e+00  2.1176e-06  0.0000e+00
    296   -2.91491       0.05638  4.0361e-02  1.0000e+00  2.1166e-06  0.0000e+00
    297   -2.91464       0.05639  4.0378e-02  1.0000e+00  2.1155e-06  0.0000e+00
    298   -2.91437       0.05641  4.0395e-02  1.0000e+00  2.1145e-06  0.0000e+00
    299   -2.91409       0.05642  4.0411e-02  1.0000e+00  2.1134e-06  0.0000e+00
    300   -2.91382       0.05644  4.0428e-02  1.0000e+00  2.1124e-06  0.0000e+00
